time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	580.083881	2.694111	3680.227045	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	574.055834	0.634427	3642.488300	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	-13.501593	0.525460	1.003726	15.404745	19.000000	0.000000	0	0	0	0	0	0	0	0
0.3	-22.708363	-9.581310	1.003726	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.4	-22.915133	-9.688080	1.003726	15.404745	18.000000	0.000000	0	0	0	0	0	0	0	0
0.5	-22.093309	-9.794850	1.292868	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	-21.328673	-9.901620	1.003726	15.404745	16.000000	0.000000	0	0	0	0	0	0	0	0
0.7	-20.512099	0.000000	1.002810	15.633276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.8	-20.697351	0.000000	1.002445	14.583276	15.000000	0.000000	0	0	0	0	0	0	0	0
0.9	-19.879099	0.000000	0.971273	13.533276	14.000000	0.000000	0	0	0	0	0	0	0	0
1.0	-19.074516	0.000000	0.744771	12.633276	13.000000	0.000000	0	0	0	0	0	0	0	0
1.1	770.965202	0.000000	3654.508336	4367.178930	33.000000	0.000000	1	0	1	0	0	0	0	0
1.2	863.345286	0.000000	3652.043429	5395.976818	32.000000	0.000000	1	0	1	0	0	0	0	0
1.3	769.094892	0.000000	3655.009789	4459.764221	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	755.851275	570.294906	34.214616	2117.032871	31.000000	0.000000	0	0	1	0	0	0	0	0
1.5	746.200464	559.744121	34.214616	2117.032871	30.000000	0.000000	0	0	1	0	0	0	0	0
1.6	752.499867	0.000000	3651.154457	4182.289555	30.000000	0.000000	1	0	1	0	0	0	0	0
1.7	-4.876202	0.000000	24.110973	6.183407	9.000000	0.000000	0	0	0	1	0	0	0	0
1.8	-15.069940	0.000000	24.109511	5.285657	9.000000	0.000000	0	0	0	1	0	0	0	0
1.9	-14.205933	0.000000	24.100540	4.416405	8.000000	0.000000	0	0	0	1	0	0	0	0
2.0	-14.459530	0.000000	24.091282	3.784099	8.000000	0.000000	0	0	0	1	0	0	0	0
2.1	-13.561304	0.000000	23.945805	3.034019	7.000000	0.000000	0	0	0	1	0	0	0	0
2.2	-13.902105	0.000000	22.932704	2.473112	7.000000	0.000000	0	0	0	1	0	0	0	0
2.3	-14.174697	0.000000	21.756041	1.904397	7.000000	0.000000	0	0	0	1	0	0	0	0
2.4	-13.270018	0.000000	20.892661	1.536671	6.000000	0.000000	0	0	0	1	0	0	0	0
2.5	-13.350563	0.000000	20.363237	1.025672	6.000000	0.000000	0	0	0	1	0	0	0	0
2.6	-13.301578	0.000000	20.045247	0.451422	6.000000	0.000000	0	0	0	1	0	0	0	0
4.3	6448254.262449	6448291.337496	23.568236	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.4	5693872.904467	0.000000	99824976.106758	0.328881	6.000000	0.000000	0	0	0	0	0	0	1	0
4.5	5497538.573302	0.000000	99824976.106394	0.328881	6.000000	0.000000	0	0	0	0	0	0	1	0
4.6	320.042341	357.552488	23.568236	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.7	374.279692	411.776169	23.568236	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.8	308.666652	346.378811	23.568236	15.297885	36.000000	0.000000	0	0	1	0	0	0	0	0
4.9	317.769534	354.581928	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	317.429941	354.342408	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.1	318.372288	355.384870	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.2	316.950218	354.062872	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.3	316.804396	354.017052	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.4	317.839955	355.152656	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.5	-25.604944	10.550598	23.568236	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.6	-34.721223	0.534345	23.568236	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.7	-34.877598	0.477984	23.568236	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.8	-35.005713	0.449870	23.568236	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.9	-35.050510	0.505083	23.568236	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.0	-34.253911	0.401702	23.568236	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.1	-34.341629	0.414008	23.568236	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.2	-43.897148	-9.680851	23.568236	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.3	-44.024815	-9.708495	23.568236	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.4	-43.150018	-9.733676	23.568236	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.5	-43.349574	-9.833215	23.568236	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.6	-43.549306	-9.932933	23.568236	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
6.7	-42.681019	-9.964667	23.568236	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.8	-42.880659	-10.064301	23.568236	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
6.9	-43.111173	-10.194808	23.568236	15.297885	31.000000	0.000000	0	0	1	0	0	0	0	0
7.0	-42.397650	-10.381274	23.568236	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.1	-42.588569	-10.472181	23.568236	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.2	-42.789310	-10.572908	23.568236	15.297885	30.000000	0.000000	0	0	1	0	0	0	0	0
7.3	-48.181407	-6.979759	23.568236	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
7.4	-57.365714	-17.078460	23.568236	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
7.5	-57.643022	-17.255759	23.568236	15.297885	39.000000	0.000000	0	0	1	0	0	0	0	0
